No,Category,Guideline,Description,Do,Don't,Code Good,Code Bad,Severity,Docs URL
1,Window,Use frameless windows correctly,Custom title bars require proper drag regions for window movement,-webkit-app-region: drag on title bar elements,Forget to add drag regions on custom title bars,"<div className=""-webkit-app-region-drag h-8"">Title</div>","<div className=""titlebar"">Title</div> // No drag",High,https://www.electronjs.org/docs/latest/tutorial/window-customization
2,Window,Handle window states properly,Track and restore window position and size across sessions,Save bounds on resize/move events and restore on launch,Hardcode window dimensions,"mainWindow.on('resize', () => store.set('bounds', mainWindow.getBounds()))","new BrowserWindow({ width: 800, height: 600 })",Medium,https://www.electronjs.org/docs/latest/api/browser-window
3,Window,Support native window controls,Respect platform conventions for window buttons (close/min/max),Use titleBarStyle: 'hiddenInset' on macOS,Force same style on all platforms,"titleBarStyle: process.platform === 'darwin' ? 'hiddenInset' : 'hidden'","titleBarStyle: 'hidden' // All platforms",Medium,https://www.electronjs.org/docs/latest/tutorial/window-customization
4,Window,Handle multi-monitor setups,Windows should open on the correct display,Check if saved bounds are visible before restoring,Blindly restore bounds that may be off-screen,"const displays = screen.getAllDisplays(); // Validate bounds","mainWindow.setBounds(savedBounds) // May be off-screen",Medium,https://www.electronjs.org/docs/latest/api/screen
5,Window,Implement vibrancy effects correctly,Use native transparency effects for premium feel,Use vibrancy: 'under-window' on macOS only,Apply vibrancy on Windows (not supported natively),"vibrancy: process.platform === 'darwin' ? 'under-window' : undefined","vibrancy: 'under-window' // Crashes on Windows",Low,https://www.electronjs.org/docs/latest/api/browser-window
6,IPC,Use contextBridge for security,Expose minimal API to renderer process with type safety,contextBridge.exposeInMainWorld with specific methods,Enable nodeIntegration in renderer,"contextBridge.exposeInMainWorld('api', { send: (channel, data) => ipcRenderer.send(channel, data) })","nodeIntegration: true // Security risk",Critical,https://www.electronjs.org/docs/latest/tutorial/context-isolation
7,IPC,Validate IPC channels,Only handle expected channels to prevent arbitrary code execution,Whitelist allowed channels in preload,Accept any channel from renderer,"const validChannels = ['save-file']; if (validChannels.includes(channel)) { ... }","ipcMain.on(channel, handler) // Any channel",Critical,https://www.electronjs.org/docs/latest/tutorial/security
8,IPC,Use invoke/handle for async operations,Two-way async communication with proper error handling,ipcRenderer.invoke + ipcMain.handle for request-response,Use send/on for async operations that need responses,"const result = await window.api.invoke('get-data')","ipcRenderer.send('get-data'); ipcRenderer.on('data', callback)",High,https://www.electronjs.org/docs/latest/tutorial/ipc
9,IPC,Type IPC messages,Ensure type safety between main and renderer,Define shared types for IPC payloads,Use any types for IPC data,"type SaveFilePayload = { path: string; content: string }","ipcMain.handle('save', (e, data) => { ... }) // data is any",Medium,https://www.electronjs.org/docs/latest/tutorial/ipc
10,IPC,Handle IPC errors gracefully,Propagate errors from main to renderer properly,Throw errors in handle that can be caught in renderer,Silently fail in main process,"ipcMain.handle('save', async () => { throw new Error('Failed') })","ipcMain.handle('save', async () => { return { error: true } })",High,https://www.electronjs.org/docs/latest/tutorial/ipc
11,Security,Enable context isolation,Isolate preload scripts from renderer context,contextIsolation: true (default in Electron 12+),Disable context isolation for convenience,"webPreferences: { contextIsolation: true, nodeIntegration: false }","webPreferences: { contextIsolation: false }",Critical,https://www.electronjs.org/docs/latest/tutorial/context-isolation
