No,Pattern,Intent,Trigger,Web,Electron,SwiftUI,React Native,Flutter,Accessibility
1,Loading Spinner,Indicate ongoing background process,API call or async operation,"Loader2 icon with animate-spin, centered or inline placement","Same as web, consider native-feel circular progress indicator","ProgressView() with .progressViewStyle(.circular), native spinner","ActivityIndicator component, size and color props, centered","CircularProgressIndicator widget, primary color, SizedBox for size","role='status', aria-busy='true', 'Loading' label for screen readers"
2,Skeleton Loading,Preview content layout while loading,Content fetch in progress,"Skeleton component matching content shape, animate-pulse effect","Same as web, match exact layout dimensions, pulse animation","Custom skeleton with RoundedRectangle and .redacted modifier","Custom Skeleton with Animated opacity, match content layout","Shimmer package or custom Container with gradient animation","aria-hidden='true' on skeletons, announce when content loads"
3,Progress Bar,Show determinate progress completion,File upload or multi-step process,"Progress component, value prop 0-100, transition animation","Same as web, consider native progress in title bar or dock","ProgressView(value:total:) with linear style, native feel","ProgressBar from react-native-paper or custom View width","LinearProgressIndicator widget, value for determinate, null for indeterminate","role='progressbar', aria-valuenow, aria-valuemin, aria-valuemax"
4,Toast Notification,Brief non-blocking feedback message,Action success or info update,"Sonner toast() function, auto-dismiss, action button optional","Same as web, or native Notification API for system tray notifications",".toast() modifier or custom overlay, auto-dismiss timing","react-native-toast-message or custom Animated toast component","ScaffoldMessenger.showSnackBar, SnackBar widget with action","role='alert' or role='status', aria-live='polite', auto-dismiss timing"
5,Error Alert,Communicate error requiring attention,API error or validation failure,"Alert variant='destructive' with AlertTitle and AlertDescription","Same as web, consider dialog.showErrorBox for critical errors","Alert with .alert modifier, destructive button style","Alert.alert() native dialog, or custom Alert component","showDialog with AlertDialog, error styling, dismiss action","role='alert', aria-live='assertive', focus management to error"
6,Success Confirmation,Confirm successful action completion,Form submit or save action,"Toast with success variant, check icon, brief message","Same as web, consider dock bounce or notification","Alert with .alert modifier, positive message, auto-dismiss","Toast or Alert with success styling, brief display","SnackBar with success color, check icon, auto-dismiss","role='status', aria-live='polite', positive message"
7,Empty State,Guide user when no content exists,List or view with zero items,"Empty component with icon/title/description/action pattern","Same as web, contextual empty states per view","ContentUnavailableView with description and action button","Custom EmptyState component with illustration and CTA","Center widget with Column of icon/text/button, illustration","Heading structure, action button focusable, descriptive text"
8,Form Validation,Real-time input validation feedback,Field blur or form submit,"FormMessage under FormField, destructive text color, icon","Same as web, inline validation with debounce","TextField with .textFieldStyle and error state, inline message","TextInput with error prop, helper text below, red border","TextField with errorText prop, InputDecoration error styling","aria-invalid='true', aria-describedby pointing to error message"
9,Confirmation Dialog,Require user confirmation for important action,Destructive or irreversible action,"AlertDialog with AlertDialogAction buttons, focus on cancel","dialog.showMessageBox with buttons array, modal to parent window",".confirmationDialog modifier or Alert with destructive action","Alert.alert() with button array, destructive button type","showDialog with AlertDialog, actions array, barrierDismissible","Focus trap, Escape to cancel, Enter for primary action, clear button labels"
10,Inline Feedback,Contextual feedback within content flow,Action on specific item,Badge or icon next to affected item status change,"Same as web, inline status indicators, color coding",Text or Image inline with status indication,"Custom inline badge or icon component, Animated for changes","Row with Text and Icon, color coding for status","aria-live region for dynamic changes, color not sole indicator"
11,Optimistic Update,Immediately reflect expected result,User action before API confirms,"Update local state immediately, revert on error, subtle pending indicator","Same as web, local state update, background sync indicator","@Published property update, SwiftUI automatic UI refresh","useState immediate update, useEffect for API sync, revert on error","setState immediate, then API call, revert on error, pending indicator","Announce pending state, announce confirmation or error"
12,Pull to Refresh,Refresh content with gesture,Pull down on scrollable content,"Not native - use button refresh or infinite scroll instead","Not applicable - use Cmd+R or refresh button","List with .refreshable modifier, native pull-to-refresh","RefreshControl component in ScrollView, spinning indicator","RefreshIndicator with onRefresh callback, pull gesture","Accessible via refresh button alternative, announce refresh state"
13,Infinite Scroll,Load more content automatically on scroll,Scroll near end of list,"IntersectionObserver or useInfiniteQuery, loading indicator at bottom","Same as web, scroll event handling, memory management for large lists","List with .onAppear for last item, fetch more on appear","FlatList onEndReached prop, onEndReachedThreshold, ListFooterComponent","ListView.builder with ScrollController listener, loading at end","Announce new content loaded, maintain focus position"
14,Tooltip Hint,Provide additional context on hover,Hover over element with unclear purpose,"Tooltip with TooltipTrigger and TooltipContent, delay for intentional hover","Same as web, keyboard focus also triggers tooltip","Custom tooltip or .help modifier for accessibility","Custom Tooltip component or react-native-elements Tooltip","Tooltip widget wrapping child, message prop","Accessible via keyboard focus, aria-describedby, delay prevents annoyance"
15,Snackbar Action,Feedback with optional undo action,Action that can be undone,"Toast with action button, timed dismiss, Undo onClick","Same as web, action callback, dismiss handling","Custom snackbar overlay or .toast with button","react-native-snackbar with action prop, custom SnackBar component","SnackBar with SnackBarAction, action callback, duration","Action button focusable, announce full message including action"
